trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud
6/21/20 12:14,2.29E+15,fraud_Kirlin and Sons,personal_care,2.86,Jeff,Elliott,M,351 Darlene Green,Columbia,SC,29209,33.966,-80.936,333497,Mechanical engineer,3/19/68,2da90c7d74bd46a0caf3777415b3ebd3,33.986,-81.201,0
6/21/20 12:14,3.57E+15,fraud_Sporer-Keebler,personal_care,29.84,Joanne,Williams,F,3638 Marsh Union,Altonah,UT,84002,40.321,-110.436,302,"Sales professional, IT",1/17/90,324cc204407e99f51b0d6ca0055005e7,39.450,-109.960,0
6/21/20 12:14,3.60E+15,"fraud_Swaniawski, Nitzsche and Welch",health_fitness,41.28,Ashley,Lopez,F,9333 Valentine Point,Bellmore,NY,11710,40.673,-73.537,34496,"Librarian, public",10/21/70,c81755dbbbea9d5c77f094348a7579be,40.496,-74.196,0
6/21/20 12:15,3.59E+15,fraud_Haley Group,misc_pos,60.05,Brian,Williams,M,32941 Krystal Mill Apt. 552,Titusville,FL,32780,28.570,-80.819,54767,Set designer,7/25/87,2159175b9efe66dc301f149d3d5abf8c,28.812,-80.883,0
6/21/20 12:15,3.53E+15,fraud_Johnston-Casper,travel,3.19,Nathan,Massey,M,5783 Evan Roads Apt. 465,Falmouth,MI,49632,44.253,-85.017,1126,Furniture designer,7/6/55,57ff021bd3f328f8738bb535c302a31b,44.959,-85.885,0
6/21/20 12:15,3.04E+13,fraud_Daugherty LLC,kids_pets,19.55,Danielle,Evans,F,76752 David Lodge Apt. 064,Breesport,NY,14816,42.194,-76.736,520,Psychotherapist,10/13/91,798db04aaceb4febd084f1a7c404da93,41.747,-77.584,0
6/21/20 12:15,2.13E+14,fraud_Romaguera Ltd,health_fitness,133.93,Kayla,Sutton,F,010 Weaver Land,Carlotta,CA,95528,40.507,-123.974,1139,"Therapist, occupational",1/15/51,17003d7ce534440eadb10c4750e020e5,41.499,-124.889,0
6/21/20 12:15,3.59E+15,fraud_Reichel LLC,personal_care,10.37,Paula,Estrada,F,350 Stacy Glens,Spencer,SD,57374,43.756,-97.594,343,"Development worker, international aid",3/5/72,8be473af4f05fc6146ea55ace73e7ca2,44.495,-97.728,0
6/21/20 12:16,3.60E+15,"fraud_Goyette, Howell and Collier",shopping_pos,4.37,David,Everett,M,4138 David Fall,Morrisdale,PA,16858,41.000,-78.236,3688,Advice worker,5/27/73,71a1da150d1ce510193d7622e08e784e,41.546,-78.120,0
6/21/20 12:16,3.55E+15,fraud_Kilback Group,food_dining,66.54,Kayla,Obrien,F,7921 Robert Port Suite 343,Prairie Hill,TX,76678,31.659,-96.809,263,Barrister,5/30/56,a7915132c7c4240996ba03a47f81e3bd,31.783,-96.366,0
6/21/20 12:16,2.24E+15,"fraud_Feil, Hilpert and Koss",food_dining,7.01,Samuel,Jenkins,M,43235 Mckenzie Views Apt. 837,Westport,KY,40077,38.492,-85.452,564,Pensions consultant,4/10/96,3b8e4d02d9e1a3bf97cf449eb0317f2c,38.978,-84.728,0
6/21/20 12:16,5.71E+11,fraud_Gottlieb Group,kids_pets,42.4,Louis,Fisher,M,45654 Hess Rest,Fort Washakie,WY,82514,43.005,-108.896,1645,Freight forwarder,2/26/76,fa3071565d94fb286cb0ed398c6d61d3,42.688,-108.670,0
6/21/20 12:17,6.59E+15,fraud_Connelly-Carter,home,2.91,Melissa,Meza,F,244 Abbott Parkway,Loxahatchee,FL,33470,26.738,-80.276,26551,Paramedic,1/4/77,a21cb82e7d8fdbf4062f15c9422a4ca6,26.078,-80.570,0
6/21/20 12:18,4.99E+12,fraud_Bechtelar-Rippin,food_dining,7.93,William,Thompson,M,977 Rita Grove Apt. 000,Rock Tavern,NY,12575,41.458,-74.166,2258,Building surveyor,3/17/37,d0d2b5cca5ae19e0a07dc7ef5d51e59e,40.712,-73.668,0
6/21/20 12:18,6.01E+15,fraud_Lubowitz-Walter,kids_pets,2.91,Ashley,Whitney,F,4038 Smith Avenue,Jones,AL,36749,32.510,-86.814,1089,Materials engineer,11/2/71,61dca41a9728ea5fd6db99efd59768f8,32.721,-87.254,0
6/21/20 12:18,4.57E+15,"fraud_Welch, Rath and Koepp",entertainment,24.73,Christine,Leblanc,F,5097 Jodi Vista Suite 811,Deltona,FL,32725,28.899,-81.247,88735,Commercial horticulturist,4/9/88,ea11379e8aa1b08d584149d65770faee,29.832,-80.927,0
6/21/20 12:18,4.91E+18,fraud_Hickle Group,shopping_pos,2.33,Charles,Moreno,M,838 Franklin Prairie Apt. 902,Key West,FL,33040,24.656,-81.382,32891,Town planner,2/13/87,00da72495351ce6bd9ecb75d51cca89b,24.306,-81.065,0
6/21/20 12:19,4.91E+15,"fraud_Lang, Towne and Schuppe",kids_pets,16.6,Lauren,Torres,F,03030 White Lakes,Grandview,TX,76050,32.278,-97.235,5875,"Radiographer, therapeutic",7/24/92,67288141e8206f6f49706c1cef5b75d3,33.182,-97.919,0
6/21/20 12:19,4.86E+18,fraud_Morissette LLC,entertainment,80.11,Ashley,Cruz,F,65417 Walsh Radial Suite 691,Saint Amant,LA,70774,30.239,-90.844,10076,"Surveyor, rural practice",12/16/77,71bb6ee81f9af4d2a38bf6af2b614708,30.450,-89.931,0
6/21/20 12:20,6.54E+15,fraud_Prosacco LLC,personal_care,5.71,Gina,Grimes,F,444 Robert Mews,Clarks Mills,PA,16114,41.385,-80.175,606,Energy manager,9/22/97,2d7640ea4f3bcd520a3c33200c393dd8,40.508,-79.615,0
6/21/20 12:20,2.28E+15,fraud_Corwin-Romaguera,travel,8.53,Shannon,Williams,F,9345 Spencer Junctions Suite 183,Alpharetta,GA,30009,34.077,-84.303,165556,Prison officer,12/27/97,1650f4f052cc85af7bd417fa17d59ac5,33.195,-84.119,0
6/21/20 12:20,4.56E+18,fraud_Gottlieb Group,kids_pets,37.95,Stacy,Villegas,F,20581 Pena Walks,Colorado Springs,CO,80951,38.888,-104.656,525713,Museum/gallery exhibitions officer,5/9/92,b14cd1ccf78a409c664bf071872a4384,39.845,-103.976,0
6/21/20 12:20,4.56E+12,fraud_Tillman LLC,travel,1.74,Christopher,Johnson,M,28711 Kristine Junction Suite 309,Greenville,OH,45331,40.099,-84.634,22930,Media planner,11/26/71,d8edb8556aad03a15e2d5702948a47fb,40.117,-84.175,0
6/21/20 12:21,2.13E+14,fraud_Veum-Koelpin,travel,6.02,Rebecca,Conley,F,181 Moreno Light Apt. 215,Tomahawk,WI,54487,45.496,-89.727,9594,Seismic interpreter,11/23/97,79f931ffc97dfe9966cd7d09613fe308,45.474,-89.540,0
6/21/20 12:21,3.73E+14,"fraud_Watsica, Haag and Considine",shopping_pos,9.87,Kristen,Hanson,F,26544 Andrea Glen,Goodrich,MI,48438,42.915,-83.485,6951,Learning disability nurse,6/18/85,df862b772cfb9ca0d621c259df11a652,43.703,-83.750,0
6/21/20 12:23,6.01E+15,fraud_Leannon-Ward,food_dining,47.06,Terri,Bailey,F,508 Erin Mount,Daly City,CA,94015,37.679,-122.478,107941,"Buyer, industrial",10/4/91,3dfec697170c9155ba76464e03179724,38.048,-123.126,0
6/21/20 12:23,6.01E+15,"fraud_Hintz, Bauch and Smith",health_fitness,1.7,William,Johnson,M,50843 Vincent Mission,South Londonderry,VT,5155,43.170,-72.852,828,Scientific laboratory technician,8/30/57,6c58a441ceeb7dc623316c6a68158d29,42.391,-71.932,0
6/21/20 12:23,3.58E+15,fraud_Labadie LLC,personal_care,2.17,Cody,Hooper,M,7233 John Parks,Lepanto,AR,72354,35.607,-90.336,2470,Counselling psychologist,10/6/68,340ad023c64e8b7d2164ca3e53620186,36.582,-89.681,0
6/21/20 12:24,3.50E+15,"fraud_Eichmann, Hayes and Treutel",travel,6.21,Kathleen,Martin,F,659 Nicole Cove Suite 560,New Waverly,TX,77358,30.535,-95.453,4993,"Scientist, biomedical",11/30/48,9662b7fede7772f80331fd0abbc7909d,31.432,-95.538,0
6/21/20 12:24,1.80E+14,fraud_Leffler-Goldner,personal_care,24.44,Mary,Schmidt,F,022 Moore Island,New York City,NY,10162,40.770,-73.951,1577385,Audiological scientist,12/29/57,efbea5fb8c846843c13f224379ba249e,40.951,-74.065,0
6/21/20 12:25,3.80E+14,fraud_Kautzer and Sons,personal_care,176.23,Frank,Key,M,5537 Jessica Plaza,Pewee Valley,KY,40056,38.304,-85.483,3263,Stage manager,2/28/30,3f5587dd43e45910ba221bc3a4dfdd3f,38.585,-86.108,0
6/21/20 12:26,1.80E+14,fraud_Ernser-Feest,home,134.39,Mary,Wall,F,2481 Mills Lock,Plainfield,NJ,7060,40.615,-74.415,71485,Leisure centre manager,7/19/74,bc7699cb759a26aa5dd58d4124febf8d,40.197,-74.408,0
6/21/20 12:26,4.30E+15,"fraud_Zemlak, Tillman and Cremin",personal_care,19.03,Daniel,Cain,M,384 Newman Forks Apt. 370,Belmond,IA,50421,42.851,-93.620,3032,Community pharmacist,8/8/64,cd10a7d08e9262899109c06a8e180302,42.323,-94.364,0
6/21/20 12:26,1.80E+14,fraud_Nienow PLC,entertainment,210.36,Mackenzie,Salazar,F,982 Melissa Lock,Bagley,WI,53801,42.921,-91.069,878,Risk analyst,11/20/74,902facfd912019350d63a3539990638e,42.737,-90.100,0
6/21/20 12:26,1.80E+14,fraud_Lynch-Wisozk,home,52.81,Krystal,Gamble,F,47152 Clayton Burg,Manchester,MD,21102,39.675,-76.894,11751,Clinical research associate,2/15/64,0ad27a9cf7fcb1e0774a86709cb248f1,39.289,-77.114,0
6/21/20 12:26,6.52E+15,"fraud_Feil, Hilpert and Koss",food_dining,82.32,James,Reese,M,26975 Richardson Mills Apt. 402,Sontag,MS,39665,31.645,-90.180,1196,"Librarian, academic",6/11/58,5a13c85ba5d478ee2bed550c6ab71c1e,31.423,-90.012,0
6/21/20 12:27,4.68E+15,fraud_Schiller Ltd,personal_care,26.31,Charles,Carrillo,M,17547 Stephen Turnpike Apt. 846,Hawthorne,CA,90250,33.914,-118.349,93193,"Editor, magazine features",4/19/95,e91e10ae4ad160e1aee1054ea96de9ba,33.949,-117.610,0
6/21/20 12:27,5.02E+11,fraud_Hoppe-Parisian,kids_pets,134.6,Jessica,Dominguez,F,06393 Nancy Parkways Suite 855,Gadsden,AL,35903,33.985,-85.908,67082,Ceramics designer,1/8/70,cc3733b9ecedc1a7b0053bd0647cdaaa,34.727,-86.884,0
6/21/20 12:27,6.01E+15,fraud_Hoppe-Parisian,kids_pets,36.72,Samuel,Johnston,M,16285 Jessica Lights,Birmingham,AL,35229,33.463,-86.790,493806,Musician,7/12/80,60a92b482a0058d2769c1ab10c55cb25,32.761,-85.903,0
6/21/20 12:27,2.13E+14,fraud_Brown-Greenholt,entertainment,105.78,Zachary,Allen,M,69252 Oconnor Alley Apt. 153,Ollie,IA,52576,41.200,-92.135,568,Commercial horticulturist,7/24/69,fc72537e1af1f675c8713aa1a36f3c53,41.215,-92.226,0
6/21/20 12:28,2.71E+15,fraud_Reilly LLC,home,39.95,Jenna,Brooks,F,50872 Alex Plain Suite 088,Baton Rouge,LA,70808,30.407,-91.147,378909,"Designer, furniture",2/22/77,fb32dada5c853d60e84278eaae707ee2,30.382,-90.924,0
6/21/20 12:28,5.04E+11,"fraud_Moore, Williamson and Emmerich",home,47.81,Andrew,Mcgee,M,4130 Tiffany Glen Apt. 562,San Antonio,TX,78248,29.589,-98.520,1595797,Exhibition designer,12/28/75,4ffb7174155b877c4d18d1d86e71e813,30.510,-99.374,0
6/21/20 12:28,6.76E+11,fraud_Rau-Robel,kids_pets,18.96,David,Wolfe,M,81261 Garcia Underpass Suite 741,Southfield,MI,48034,42.497,-83.291,75830,"Engineer, automotive",12/28/74,14dd61cec0b9be2d29aff70f605964ab,42.186,-84.042,0
6/21/20 12:29,4.78E+12,"fraud_Fadel, Mertz and Rippin",entertainment,46.67,Jessica,Garcia,F,13108 Jennifer Passage,Mc Cracken,KS,67556,38.596,-99.554,320,Film/video editor,4/22/61,822cd909aeb6a351637b5f9ba9866f19,39.457,-99.570,0
6/21/20 12:29,3.76E+14,fraud_Crona and Sons,kids_pets,30.59,Dale,Smith,M,25036 Contreras Turnpike Suite 270,Purmela,TX,76566,31.484,-97.990,258,Web designer,12/15/43,5f947d9974aca9e08265898e26db1583,32.053,-97.161,0
6/21/20 12:29,3.03E+13,"fraud_Bahringer, Bergnaum and Quitzon",home,3.94,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,61454,40.676,-91.039,725,Environmental consultant,11/28/72,4326b0d0ee56d328d40269e79a68ea30,40.923,-91.977,0
6/21/20 12:29,6.01E+15,"fraud_Koss, Hansen and Lueilwitz",home,84.11,Jeffrey,White,M,8617 Holmes Terrace Suite 651,Tuscarora,MD,21790,39.267,-77.510,100,"Production assistant, television",12/11/79,ce73a1c97d13e160112f3142781300ac,39.535,-77.065,0
6/21/20 12:29,4.11E+18,"fraud_Yost, Schamberger and Windler",kids_pets,31.19,Sandra,Schwartz,F,3789 Mark Walks,Sunflower,MS,38778,33.557,-90.545,1686,"Education officer, community",11/6/86,e7b73a4e22392a7800afdca8c230878f,33.693,-89.595,0
6/21/20 12:29,6.76E+11,"fraud_Armstrong, Walter and Gottlieb",food_dining,4.91,Amanda,Spencer,F,6682 Green Forks,Ogdensburg,NJ,7439,41.077,-74.598,2456,Senior tax professional/tax inspector,3/13/94,def4f0ac7d3e4f02f33462a25632ef6c,41.061,-73.998,0
6/21/20 12:29,3.77E+14,fraud_Friesen Ltd,health_fitness,5.36,Jackie,Davis,F,1898 Parker Fork Apt. 057,Redford,MO,63665,37.327,-91.024,241,Investment analyst,10/27/74,0920f8e36028f404b48385209a995113,38.211,-90.422,0
6/21/20 12:30,6.01E+15,fraud_Champlin and Sons,home,80.5,Joshua,Cohen,M,426 Mark Ports,Brooklin,ME,4616,44.254,-68.557,824,"Loss adjuster, chartered",11/2/74,c64caafcb8aaa4608fdba9f1ab53cbcc,44.959,-69.150,0
6/21/20 12:30,3.52E+15,fraud_Bins-Tillman,entertainment,49.57,Audrey,Gonzalez,F,34180 Lopez Plaza,Fields Landing,CA,95537,40.727,-124.217,276,"Scientist, audiological",5/6/29,12ef39ddb0af3a6bea386509d9929a41,40.535,-123.901,0
6/21/20 12:30,5.71E+11,fraud_Douglas-White,entertainment,79.51,Louis,Fisher,M,45654 Hess Rest,Fort Washakie,WY,82514,43.005,-108.896,1645,Freight forwarder,2/26/76,23e2084549f139d3fc1458aa6ebe2c6c,43.144,-109.339,0
6/21/20 12:30,6.01E+15,"fraud_Hermiston, Pacocha and Smith",health_fitness,34.17,Kathryn,Smith,F,19838 Tonya Prairie Apt. 947,Rocky Mount,MO,65072,38.291,-92.706,1847,Tax inspector,10/26/88,eda795ae153f71732ca5390ae6b5814f,38.421,-92.942,0
6/21/20 12:31,4.12E+15,"fraud_Denesik, Powlowski and Pouros",home,9.75,Bridget,Bowen,F,49120 Regina Island Apt. 170,Port Saint Lucie,FL,34953,27.263,-80.379,181438,Primary school teacher,3/19/34,a2204915943d2fbb1f700042240502b0,26.709,-79.679,0
6/21/20 12:31,4.86E+18,fraud_Nader-Maggio,personal_care,68.88,Jeremy,Roberson,M,25887 Martin Inlet,Graniteville,VT,5654,44.155,-72.485,970,Agricultural consultant,9/29/93,a2dbde4624ee6e24bb9633ce9fcd1672,43.760,-72.192,0
6/21/20 12:31,4.60E+18,"fraud_O'Reilly, Mohr and Purdy",home,30.73,Mary,Myers,F,39787 Pamela Fall Suite 639,Tiptonville,TN,38079,36.385,-89.465,5577,Geochemist,12/30/64,d23a9cc9f255e797022458fc9de3b2ce,36.313,-89.938,0
6/21/20 12:32,5.62E+11,fraud_O'Connell-Ullrich,home,63.27,Melissa,Brown,F,330 Montoya Ramp,Washington,DC,20036,38.909,-77.041,601723,Prison officer,3/14/86,254585bc866b5c091b244515abba49da,39.418,-76.628,0
6/21/20 12:32,2.23E+15,fraud_Bauch-Blanda,entertainment,121.46,Angie,Jones,F,6970 Blake Trail,Clearwater,FL,33760,27.900,-82.715,172247,"Geneticist, molecular",10/22/79,1c819bcf6e07bd61322a1e61e8f0c70f,27.482,-83.201,0
6/21/20 12:32,2.30E+15,"fraud_Ruecker, Beer and Collier",shopping_net,9.23,Judy,Hogan,F,4970 Michelle Burgs,Brooklyn,NY,11217,40.682,-73.980,2504700,Medical sales representative,9/1/99,6c2b797c1729405a26268c665c4e5c8d,41.494,-74.258,0
6/21/20 12:32,3.67E+13,fraud_Berge-Hills,kids_pets,8.86,Jessica,Perez,F,8172 Robertson Parkways Suite 072,Superior,AZ,85173,33.289,-111.099,2872,Petroleum engineer,10/28/87,bf6a53e1ba9d726edf1654d0899f533b,32.390,-111.567,0
6/21/20 12:32,2.13E+14,fraud_White and Sons,home,55.53,Adam,Santos,M,725 Jo Trace Apt. 102,Glendale,CA,91206,34.156,-118.232,172817,Advertising account planner,7/30/82,c97a7d07cc73cb35af508befd2bc452b,33.624,-118.425,0
6/21/20 12:33,3.57E+15,fraud_Adams-Barrows,health_fitness,2.61,John,Stevens,M,428 Morgan River,Hudson,NY,12534,42.247,-73.755,17867,Travel agency manager,7/29/98,07013b6fac89440c1e8f15428f93b7f4,41.503,-73.722,0
6/21/20 12:33,4.99E+12,fraud_Crona and Sons,kids_pets,1.93,William,Thompson,M,977 Rita Grove Apt. 000,Rock Tavern,NY,12575,41.458,-74.166,2258,Building surveyor,3/17/37,c86b29ee783636aaceb7687877924f9c,40.858,-73.448,0
6/21/20 12:33,2.13E+14,fraud_Bauch-Blanda,entertainment,20.03,Tara,Campbell,F,05050 Rogers Well Apt. 439,Rock Springs,WY,82901,41.606,-109.230,27971,Music therapist,8/1/84,da32ba67b0979adb0c65a60bdb01e64c,41.899,-108.428,0
6/21/20 12:33,4.51E+15,fraud_Pouros-Haag,shopping_pos,7.93,Monica,West,F,22084 Smith Roads Suite 776,Hurley,SD,57036,43.289,-97.190,811,Neurosurgeon,3/28/72,3aedf92246758786b01168d5dc5773b5,43.795,-96.833,0
